11:19:29 | PIX_RPA_MAIN | INFO | 🚀 Inicializando PIX RPA Process
11:19:29 | PIX_RPA_MAIN | INFO | ✓ Gestores principales inicializados
11:19:29 | PIX_RPA_MAIN | INFO | ✓ Gestores opcionales inicializados
11:19:29 | PIX_RPA_MAIN | INFO | 🚀 Iniciando proceso PIX RPA
11:19:29 | PIX_RPA_MAIN | INFO | 🔍 Validando entorno PIX RPA...
11:19:29 | PIX_RPA_MAIN | INFO |   ✓ Directorio verificado: data/
11:19:29 | PIX_RPA_MAIN | INFO |   ✓ Directorio verificado: reports/
11:19:29 | PIX_RPA_MAIN | INFO |   ✓ Directorio verificado: logs/
11:19:29 | PIX_RPA_MAIN | INFO |   ✓ Directorio verificado: evidencias/
11:19:29 | PIX_RPA_MAIN | INFO |   ✓ Directorio verificado: config/
11:19:29 | PIX_RPA_MAIN | INFO |   ✓ Dependencias críticas verificadas
11:19:29 | PIX_RPA_MAIN | INFO | ✅ Validación de entorno completada
11:19:29 | PIX_RPA_MAIN | INFO | 🚀 PASO 1: Consumo de API pública
11:19:29 | PIX_RPA_MAIN | INFO | ✅ Productos obtenidos: 20
11:19:29 | PIX_RPA_MAIN | INFO | ☁️ Subida de JSON a OneDrive deshabilitada o no configurada.
11:19:29 | PIX_RPA_MAIN | INFO | 🚀 PASO 2: Almacenamiento en base de datos
11:19:29 | PIX_RPA_MAIN | INFO | ✅ Productos insertados en BD: 0
11:19:29 | PIX_RPA_MAIN | INFO | 🚀 PASO 3: Generación de reporte Excel
11:19:29 | PIX_RPA_MAIN | INFO | ✅ Reporte Excel generado: /home/camper/Descargas/-prueba-t-cnica-RPA--master/PRUEBA-RPA-main/reports/Reporte_2025-09-10.xlsx
11:19:29 | PIX_RPA_MAIN | INFO | 🚀 PASO 4: Subida a OneDrive
11:19:29 | PIX_RPA_MAIN | INFO | ☁️ OneDrive deshabilitado por configuración
11:19:29 | PIX_RPA_MAIN | INFO | 🚀 PASO 5: Automatización web (formulario)
11:19:29 | WDM | INFO | ====== WebDriver manager ======
11:19:29 | WDM | INFO | Get LATEST chromedriver version for google-chrome
11:19:29 | WDM | INFO | Get LATEST chromedriver version for google-chrome
11:19:29 | WDM | INFO | Driver [/home/camper/.wdm/drivers/chromedriver/linux64/134.0.6998.165/chromedriver-linux64/THIRD_PARTY_NOTICES.chromedriver] found in cache
